TrafficID,LocationID,TimeID,VehicleCount,CongestionLevel
1,150,20240178,312,46
2,198,20240188,339,82
3,182,20240102,758,80
4,130,20240126,200,68
5,179,20240114,289,80
6,191,20240159,853,35
7,151,20240156,519,36
8,163,20240107,749,80
9,198,20240103,1004,71
10,152,20240123,1093,93
11,138,20240118,338,44
12,197,20240138,710,58
13,188,20240199,1067,62
14,179,20240115,1044,56
15,130,20240164,458,65
16,151,20240189,872,58
17,181,20240128,1101,67
18,105,20240174,889,86
19,129,20240139,209,56
20,104,20240157,460,84
21,110,20240117,1118,62
22,156,20240186,849,39
23,117,20240190,371,34
24,174,20240144,1097,67
25,117,20240125,212,42
26,184,20240117,367,60
27,188,20240113,841,76
28,169,20240184,795,81
29,134,20240125,520,85
30,106,20240168,518,44
31,153,20240110,812,58
32,166,20240167,528,37
33,177,20240118,984,34
34,143,20240200,976,58
35,175,20240186,1170,76
36,123,20240134,1110,74
37,155,20240108,1119,31
38,180,20240140,749,56
39,195,20240183,618,65
40,175,20240142,805,65
41,116,20240141,294,55
42,108,20240106,1016,72
43,104,20240152,780,56
44,104,20240126,517,49
45,156,20240164,1155,40
46,125,20240198,435,67
47,167,20240159,1145,35
48,196,20240156,533,52
49,167,20240159,1084,76
50,127,20240170,575,75
51,193,20240133,658,41
52,132,20240153,336,42
53,150,20240122,1129,91
54,161,20240121,787,89
55,151,20240170,1194,72
56,119,20240170,746,34
57,121,20240104,712,66
58,105,20240194,495,60
59,182,20240175,519,38
60,192,20240162,1117,80
61,142,20240162,771,58
62,161,20240194,1031,69
63,122,20240195,548,70
64,121,20240124,1039,40
65,170,20240155,978,52
66,101,20240109,1072,30
67,105,20240103,428,75
68,112,20240131,469,50
69,190,20240140,1027,65
70,146,20240136,997,83
71,134,20240124,490,86
72,149,20240195,924,30
73,178,20240106,364,92
74,190,20240166,204,83
75,145,20240184,1050,84
76,127,20240192,578,69
77,173,20240175,277,44
78,126,20240104,609,50
79,147,20240179,773,76
80,186,20240106,331,82
81,156,20240194,800,38
82,194,20240151,948,81
83,163,20240162,241,86
84,148,20240157,288,55
85,161,20240166,601,70
86,181,20240179,495,64
87,126,20240175,1039,92
88,136,20240108,494,54
89,101,20240126,815,67
90,108,20240151,725,31
91,199,20240145,999,36
92,152,20240144,890,63
93,179,20240105,836,46
94,147,20240170,621,72
95,156,20240126,1064,88
96,186,20240168,222,80
97,114,20240119,774,83
98,190,20240184,342,53
99,128,20240197,1192,54
100,187,20240120,864,81
