Song,BPM,PitchVariance,Loudness,SpectralCentroid,HarmonicRatio
Raabta (kehte hain khuda) -Joy.mp3,[117.45383523],447573.53,0.22637759,1650.0366067803516,-2.7590374e-06
Ed Sheeran - Shape Of You.mp3,[129.19921875],869471.25,0.29734856,2143.754072532402,-5.0996937e-06
Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song).mp3,[172.265625],1124105.2,0.09785966,2360.110348373017,-1.7662225e-05
Mitti Di Khushboo.mp3,[95.703125],589638.3,0.284156,1931.0783724941314,-1.8980724e-07
Sharadha ( ශරධ ) - Lahiru Liyanage Official Video Yasas Medagedara.mp3,[151.99908088],318651.16,0.17498529,1608.8537958308166,-1.8310302e-05
Jeena Jeena.mp3,[103.359375],421413.34,0.21180083,1889.6612995439623,1.2372942e-07
Main Rang Sharbaton Ka.mp3,[89.10290948],516394.88,0.23765223,2009.2074427647528,-9.734157e-07
Clean Bandit Mama (feat. Ellie Goulding) [Official Audio].mp3,[103.359375],899030.7,0.24588425,2334.4174514031847,-4.639621e-06
The Chainsmokers– All We Know (feat. Phoebe Ryan).mp3,[89.10290948],1139234.0,0.23377337,2675.2643506782074,-1.1908153e-07
Sandawathiye___Ridma_Weerawardena___Charitha_Attalage.mp3,[151.99908088],572509.2,0.24909908,1856.084797998464,2.8863906e-05
Kar Gayi Chull.mp3,[161.49902344],1056357.8,0.22150491,2737.6547349145226,-2.7930112e-06
SHOBA (ශභ)Bhashi Devanga [Official Lyric Video 2019].mp3,[78.30255682],544792.7,0.20817338,1861.524552996473,-2.7537832e-05
SendMy Love to Your New Lover.mp3,[161.49902344],802642.4,0.23858523,1958.865614284084,-1.96587e-06
Sepalikawo Shehan Kaushalya.mp3,[129.19921875],486227.94,0.19461289,1814.5236845856596,2.8014938e-05
Tamma Tamma Again.mp3,[123.046875],1035829.5,0.25203332,2601.8661194326146,-2.3139223e-06
Meri Aashiqui - Jubin Nautiyal.mp3,[151.99908088],657809.56,0.23804791,2051.6774578205795,-2.5215115e-07
Woh Mere Bin - Atif Aslam.mp3,[92.28515625],1100036.5,0.20812128,2299.699787130154,-1.7329074e-06
Bheegi Bheegi.mp3,[103.359375],622126.9,0.20408499,1879.2064566883453,-7.5868384e-06
Shawn_Mendes_&_Camila_Cabello_-_Senorita_-_(SongsLover.com).mp3,[117.45383523],850018.06,0.25611955,2489.3190213598014,4.69077e-05
SANUKA - Ciao Malli (චඕ මලල) Official Lyric Video.mp3,[92.28515625],679019.56,0.19393852,2003.1356505346737,-2.1450438e-05
Tere Bin - Atif Aslam.mp3,[117.45383523],1010222.56,0.23626244,2245.780196400285,-2.3089124e-05
Charlie_Puth_feat_Selena_Gomez_We_Dont_Talk_Anymore.mp3,[99.38401442],711251.1,0.16166548,2069.8408196934524,2.7182208e-05
Chris Brown - Turn Up the Music.mp3,[129.19921875],932611.8,0.2442981,2366.021883133483,3.1272334e-06
Jab Koi.mp3,[107.66601562],1008069.75,0.21611144,2146.2846761325327,7.7640244e-08
Cinderella-Lavender's Blue.mp3,[123.046875],591082.9,0.16324301,1739.6919381777097,-1.2015339e-06
Ishq Kamaal - Sadak 2.mp3,[83.35433468],655001.0,0.15402058,1906.3865225677746,-3.3645154e-07
02 Abhi Toh Party Shuru Hui Hai.mp3,[129.19921875],914465.75,0.23501924,2895.7785835887594,4.4505723e-06
The Vamps - All Night - MP3 320.mp3,[143.5546875],1132990.0,0.21844059,2894.918002447752,-4.5737852e-07
Sanwedana සවදන (Lyrics) - Shane zing.mp3,[143.5546875],914299.2,0.20060039,2851.9253233370177,-1.3874121e-05
Kabhi Alvida.mp3,[151.99908088],533120.75,0.13791373,1535.80565869648,-2.7047367e-06
CNCOMeghanTrainorSeanPaulHeyDJRemixOfficialVideo-arabix - Copy.mp3,[184.5703125],963596.6,0.23401067,2582.4292861760614,3.7307258e-05
Sheela Lyrics - Jaya Sri - lyrics ශල - ජය ශර.mp3,[99.38401442],1111835.8,0.15546551,2438.4000352776034,-6.5918093e-06
